trial,M1,M2,HungarianD,HungarianPD,M3,M4,M4*
168,36.94872819578135,1.3019204558527002,3.375151936036125,3.223591159185703,3.803349117836314,1.3019204558527002,2.2351275907400363
169,3.798619282485254,1.0115657716371553,8.158116836100152,3.330795753344371,2.330795753344371,1.0115657716371553,1.1604101896240062
170,20.808275162699438,1.0573888192496192,7.294571541580275,8.813716404553935,7.813716404553936,1.0573888192496192,2.0268997318388555
171,24.94866290944547,2.8350080123965107,13.561677743838551,14.813691242004122,13.770748519964634,7.457478642868452,5.2535918514877835
172,18.911745073454693,4.479440468122214,9.049157065883538,12.265802661295124,9.092721910856545,8.20485039612378,4.538848287436082
173,5.290974897821661,2.655455412723345,7.642347170560202,7.427288898794723,5.474511050039518,1.54057834759714,1.5265569250526574
174,6.065012884456736,2.1145787163003615,9.045304712947136,8.880034351709492,7.883979281181506,4.139456247769773,4.225102297726313
175,14.023719974489168,2.8895619566913733,7.731918904946197,9.317330804471423,7.798026356118545,7.619904067471544,7.2661414195444785
176,48.623932444390654,2.439217541496751,4.860454314522253,5.860454314522253,4.8604543145222525,2.439217541496751,2.4640546956994767
177,2.657219267936525,1.0,1.0,2.0,1.0,1.0,1.0
178,7.806208936526775,2.6363310639611344,10.174983099365207,7.938853976290765,6.916811828887943,5.127076816170669,4.507405894580929
179,5.404727031527779,2.411549067565273,7.772006165281233,5.909106326615355,4.909106326615355,2.411549067565273,2.4227121135832395
180,9.490487024155799,1.923174621414547,9.205127826881215,4.869035640270622,3.8690356402706207,1.923174621414547,1.153305454308819
181,31.32447526670725,3.3648547147896,8.6168008182017,4.928934665418979,3.9289346654189785,3.6526416779267836,4.786288687801619
182,38.768016461428026,1.1056598332812724,4.002684928079956,3.091130724086906,2.091130724086906,1.1056598332812724,1.1056598332812724
183,6.992816326724613,1.0856131230237263,8.829577217445078,4.3126118533134665,2.3783381175235636,1.0856131230237263,4.808359018500015
184,15.428025213371752,2.0021903965235524,10.546404983814465,6.6675258841758165,5.478622760914377,2.0021903965235524,2.2544242085073027
185,3.4215577408180695,6.619303421151909,6.158905777917455,6.267255980957293,5.267255980957293,1.127300457938502,1.8825658188579946
