trial,alpha_1.0,alpha_1.5,alpha_2.0,alpha_2.5,alpha_3.0,adaptive
404,1.2070227735510783,1.2070227735510783,1.2070227735510783,1.2070227735510783,1.9242736165380818,1.2070227735510783
405,1.7324718199505813,4.870052185933596,4.870052185933596,4.870052185933596,4.870052185933596,1.7324718199505813
406,1.3576090430387533,1.3576090430387533,2.019324626694517,2.019324626694517,2.019324626694517,1.3576090430387533
407,4.0140040930067205,6.276361433944846,6.148144459356473,5.29404016760536,3.675588947144038,3.8742646069364417
408,2.3380869309656966,2.458384639618009,2.786527962833911,1.4162742270659847,1.4162742270659847,2.3380869309656966
409,4.71415447487105,1.7613977031745838,1.7613977031745838,1.7613977031745838,1.7613977031745838,3.4649700999991393
410,1.2267251712089335,2.8700888420914388,2.8700888420914388,2.8700888420914388,2.8700888420914388,1.2267251712089335
411,1.0,1.0,1.0,1.0,1.0,1.0
412,1.3543337979337378,7.006438323108001,5.728104319066968,5.728104319066968,4.611956016230052,1.3543337979337378
413,4.603114673625292,5.099836339923835,5.099836339923835,4.904261663689688,4.904261663689688,4.7797355016214915
414,3.4566641691615945,3.491204092463012,3.3070253159934317,3.3070253159934317,3.3070253159934317,3.4566641691615945
415,8.979198577311369,6.421046895082301,6.421046895082301,8.962565372521151,8.962565372521151,8.979198577311369
416,3.2741244355319723,3.5806429018731714,3.5806429018731714,1.464801799445268,1.464801799445268,3.2741244355319723
417,2.187068701150264,2.187068701150264,2.187068701150264,2.187068701150264,2.187068701150264,2.187068701150264
418,1.0048533985843495,1.0048533985843495,1.0048533985843495,1.0048533985843495,1.0048533985843495,1.0048533985843495
419,2.15178590079249,1.0241191712371556,1.0241191712371556,1.0241191712371556,1.0241191712371556,2.15178590079249
420,1.844653170143261,1.844653170143261,1.844653170143261,1.844653170143261,1.6498868610920376,1.844653170143261
421,2.448369852655935,3.570873418742383,3.570873418742383,1.141162684372509,1.141162684372509,2.448369852655935
422,1.2034899120336577,1.2034899120336577,1.2034899120336577,1.2034899120336577,1.6493194307266812,1.2034899120336577
423,2.5573232009031432,2.708123651106001,5.051044946739518,4.82407896513603,4.82407896513603,3.1268577567439375
424,3.3384256925109166,3.161196465484471,3.02171623003562,3.02171623003562,3.02171623003562,3.3384256925109166
425,7.188476664687219,7.024145682580953,7.024145682580953,7.024145682580953,7.024145682580953,2.249940832249327
426,1.6415373702843101,1.6415373702843101,1.6415373702843101,1.5165712038824433,1.5165712038824433,1.6415373702843101
427,2.9827820651988675,2.9827820651988675,2.9827820651988675,2.9827820651988675,2.9827820651988675,2.9827820651988675
428,1.381053189834891,1.381053189834891,1.381053189834891,1.381053189834891,1.381053189834891,1.381053189834891
429,1.3839849386578569,1.0429943857063668,1.0429943857063668,1.0429943857063668,1.1603344911186504,1.3839849386578569
430,1.5976355697719715,3.788548467528435,3.788548467528435,3.748781077121604,3.748781077121604,1.5976355697719715
431,1.2154344259458976,1.2154344259458976,1.2154344259458976,1.2154344259458976,1.2154344259458976,1.2154344259458976
432,2.201412204510605,2.201412204510605,2.201412204510605,1.1985791471123928,1.1985791471123928,2.201412204510605
433,1.0865419445589977,1.0865419445589977,1.0865419445589977,1.249629798617151,1.249629798617151,1.0865419445589977
434,5.778880823119899,3.1127687543778544,3.1127687543778544,2.5073230320862443,2.5073230320862443,5.778880823119899
435,4.125470099604869,2.000090996177426,5.703506963765181,6.965832036594373,7.027093369953062,4.125470099604869
436,2.406815074876253,2.7255692042058275,1.396471427725117,1.396471427725117,1.396471427725117,2.406815074876253
437,2.0305491840719307,2.0305491840719307,6.32653070996415,6.881797208462481,4.116863800655026,2.0305491840719307
438,1.6382851461034778,1.6434311977591332,1.6434311977591332,1.6434311977591332,1.6434311977591332,1.6382851461034778
439,5.163686453882053,8.182907237728312,1.0170687954510997,1.0170687954510997,1.0170687954510997,8.58146371634852
440,1.9940532166438591,1.9940532166438591,1.9940532166438591,1.9940532166438591,1.9940532166438591,1.9940532166438591
441,5.424897062606229,6.208270137839437,6.208270137839437,6.938850381229626,7.933302854458407,6.208270137839437
442,1.3707243455051552,1.3707243455051552,1.3707243455051552,1.3707243455051552,1.3707243455051552,1.3707243455051552
443,1.0,2.4662508996696966,1.8145668348036035,1.8145668348036035,1.8145668348036035,1.0
444,2.422816607052239,2.4737229380656935,2.4737229380656935,2.4737229380656935,2.4737229380656935,2.422816607052239
445,5.268426495959397,3.1503788425412838,3.1503788425412838,3.1503788425412838,3.1503788425412838,3.1503788425412838
446,1.2998469224523905,1.2998469224523905,1.2998469224523905,1.2998469224523905,1.2998469224523905,1.2998469224523905
447,1.0194818523377602,1.0194818523377602,4.113049227653109,4.113049227653109,4.113049227653109,1.0194818523377602
448,6.671628390569321,6.671628390569321,6.671628390569321,8.650295989254634,8.498529097367665,6.671628390569321
449,3.408170827876068,3.408170827876068,3.6733730425312334,5.343822346822283,3.3790686203190528,3.408170827876068
450,1.3704862924873817,1.3704862924873817,2.4143307029741,2.4143307029741,2.4143307029741,1.3704862924873817
451,1.0607249642319603,1.0607249642319603,1.0607249642319603,3.2605733847218046,3.2605733847218046,1.0607249642319603
452,1.2650496835839795,1.098623050515947,1.098623050515947,1.1443616349374912,1.1443616349374912,1.2650496835839795
453,1.3361730013434743,1.3361730013434743,1.3361730013434743,1.3361730013434743,1.3361730013434743,1.3361730013434743
454,1.6876971539850367,1.4177022550034521,1.8691582947927046,1.8691582947927046,2.0230794187943886,1.6876971539850367
455,1.7165570066332199,1.7165570066332199,1.7165570066332199,1.7165570066332199,4.39983093285566,1.7165570066332199
456,2.7064277754274118,3.385666842595384,3.385666842595384,2.602551709586349,2.602551709586349,3.498653453565737
457,1.0,1.0,1.0,1.0,1.0,1.0
458,1.9705677692893182,1.0,1.0,1.0,1.0,1.9705677692893182
459,4.793988342956691,5.185884503307666,4.840009875682876,4.840009875682876,4.840009875682876,5.185884503307666
460,9.435797531859281,2.9361917734608762,2.9361917734608762,2.9361917734608762,2.9361917734608762,2.9074532064269154
461,1.0,1.0,1.0,1.0,1.0,1.0
462,5.3287658306812,5.3287658306812,1.8334792880383428,1.8334792880383428,1.8334792880383428,5.3287658306812
463,1.7046635252014475,1.3564857059909121,1.3564857059909121,1.7246745664630427,1.7246745664630427,1.7046635252014475
464,1.4021961231244877,1.4021961231244877,1.4021961231244877,1.4021961231244877,1.4021961231244877,1.4021961231244877
465,3.4785232591878237,6.64564690367819,8.667110191186564,8.667110191186564,5.40201693461328,6.683000014966352
466,1.345098946090038,1.345098946090038,1.345098946090038,1.345098946090038,1.345098946090038,1.345098946090038
467,3.756617312902062,7.683893012947091,1.5120093045112193,1.5120093045112193,1.0,3.756617312902062
468,4.99839672965727,5.352178630263722,5.352178630263722,5.352178630263722,5.352178630263722,4.3531738599856284
469,5.575613413892624,1.067798123854575,1.088319077042063,1.088319077042063,1.088319077042063,5.575613413892624
470,4.596478776550558,4.596478776550558,4.084819573059471,4.062287429824936,4.062287429824936,4.596478776550558
471,1.0394214484866355,1.0394214484866355,5.273642072977071,5.273642072977071,5.39602310570022,1.0394214484866355
472,1.0570009760208603,1.0570009760208603,1.0570009760208603,1.0570009760208603,1.0570009760208603,1.0570009760208603
