trial,model,target_rank_in_tour,tour_length,fcr
139,M4* 2-opt,7,11.414587258928698,3.9705892457274463
140,M4* greedy,2,11.571144276718528,1.588826842834965
140,M4* 2-opt,3,10.880813824868998,2.2351666693476493
141,M4* greedy,4,12.457315401293213,1.3352720905552722
141,M4* 2-opt,4,12.457315401293213,1.3352720905552722
142,M4* greedy,3,13.798340179353453,4.903076732303772
142,M4* 2-opt,4,13.739102528885397,4.965780300113387
143,M4* greedy,5,13.114794078288305,1.5217240617681491
143,M4* 2-opt,5,12.6000143652252,1.419146255635636
144,M4* greedy,1,13.75586587956064,1.0
144,M4* 2-opt,1,13.75586587956064,1.0
145,M4* greedy,6,13.976495467214761,2.567405688685266
145,M4* 2-opt,3,13.244509983006965,1.57666521524815
146,M4* greedy,1,13.568320677630478,3.592810202119774
146,M4* 2-opt,1,13.568320677630478,3.5360197334152015
147,M4* greedy,3,11.54634185926399,1.545966323417537
147,M4* 2-opt,2,10.815640888423056,1.3297267279922593
148,M4* greedy,10,13.07278464531257,6.340608647823973
148,M4* 2-opt,10,12.551073326065104,6.0476581613253835
149,M4* greedy,3,13.234480727184717,2.0133005658796637
149,M4* 2-opt,4,13.21850703352359,2.1987057845246425
150,M4* greedy,5,13.837924308529846,6.3125276356627795
150,M4* 2-opt,4,13.756537160383974,6.2193070956568555
151,M4* greedy,5,13.265368467738819,1.171990387150404
151,M4* 2-opt,4,12.720907371183653,1.0797711877170564
152,M4* greedy,2,13.319552340782671,1.0217974791709301
152,M4* 2-opt,2,13.319552340782671,1.0217974791709301
153,M4* greedy,3,12.250989182317287,1.2906689478323612
153,M4* 2-opt,5,12.233854092133447,3.364889311154375
154,M4* greedy,2,12.241602851455621,2.7730573130047125
154,M4* 2-opt,2,12.241602851455621,2.5701785637558854
155,M4* greedy,7,13.473302574036085,1.6525480230655858
155,M4* 2-opt,2,13.429208216629,1.1133320098183008
156,M4* greedy,6,12.502626943305502,2.688506640316416
156,M4* 2-opt,6,12.502626943305502,2.688506640316416
157,M4* greedy,1,13.01369671969542,1.0
157,M4* 2-opt,1,13.01369671969542,1.0
158,M4* greedy,3,13.613159541228258,2.8388552527430955
158,M4* 2-opt,2,13.012687552263202,2.2807440349210126
159,M4* greedy,4,12.90390797875834,2.159445070091693
159,M4* 2-opt,5,12.638480787370266,1.5083707157084476
160,M4* greedy,3,13.0558489125786,1.126165082545727
160,M4* 2-opt,2,12.509420184609073,1.0440825424544518
161,M4* greedy,9,13.953899858055916,6.241704210459229
161,M4* 2-opt,9,13.849376937156972,6.187459584651169
162,M4* greedy,5,13.095145831830527,1.1526401262566837
162,M4* 2-opt,4,13.039074766896654,3.025178379339554
163,M4* greedy,4,13.73636064152694,2.23687092773967
163,M4* 2-opt,5,13.54712457448316,2.653577364744356
164,M4* greedy,6,13.914986543861588,3.6979301623116934
164,M4* 2-opt,2,13.455006190459045,1.0878716001996482
165,M4* greedy,4,13.406168770439553,1.8046427512121135
165,M4* 2-opt,9,12.03994266617865,5.19258242065604
166,M4* greedy,4,13.422083698074522,1.8346478443087058
166,M4* 2-opt,2,13.055017057749035,1.3648865755081907
167,M4* greedy,2,10.512547630474252,1.0701416130655743
167,M4* 2-opt,2,10.512547630474252,1.0701416130655743
168,M4* greedy,2,13.866128373921294,2.2351275907400363
168,M4* 2-opt,1,13.54966111385525,2.156613379808344
169,M4* greedy,4,13.96034217562308,1.1604101896240062
